银行名称	URL
台州商行	http://www.tzbank.com/
浙江泰隆商业银行	http://www.zjtlcb.com/
浙江民泰商业银行	http://www.mintaibank.com/
宁波银行	http://www.nbcb.cn/
徽商银行	http://www.hsbank.com.cn/
福建海峡银行股份有限公司	http://www.fjhxbank.com
泉州银行股份有限公司	http://www.qzccbank.com
江西银行股份有限公司	www.jx-bank.com
九江银行股份有限公司	www.jjccb.com
赣州银行股份有限公司	http://www.gzccb.com/
上饶银行股份有限公司	http://www.srbank.cn/
齐鲁银行	http://www.qlbchina.com/Site/Home/CN
齐商银行	http://www.qsbank.cc/
烟台银行	http://www.yantaibank.net/
潍坊银行	http://www.wfccb.com/
临商银行	http://www.lsbchina.com/index.html
威海市商业银行	http://www.whccb.com/
日照银行	http://www.bankofrizhao.com.cn/
德州银行	http://www.dzbchina.com/Site/Home/CN
莱商银行	http://www.lsbankchina.com/
东营银行	http://www.dyccb.net/
济宁银行	http://www.jn-bank.com/
泰安市商业银行	http://www.taccb.com.cn/
枣庄银行	http://www.zzbank.cc/
中原银行	http://www.zyebank.com/zyb/zh_CN/jshj/index.html
郑州银行	http://www.zzbank.cn/
洛阳银行	http://www.bankofluoyang.com.cn
平顶山银行	http://www.pdsb.cn/
焦作中旅银行	http://www.jzctb.com/
湖北银行	http://www.hubeibank.cn/
汉口银行	http://www.whcbank.com/
长沙银行股份有限公司	http://www.bankofchangsha.com/www.csbc.cn
华融湘江银行股份有限公司	http://www.hrxjbank.com.cn
广州银行股份有限公司	http://www.gzcb.com.cn
珠海华润银行股份有限公司	http://www.crbank.com.cn
东莞银行股份有限公司	http://www.dongguanbank.cn/Site/Home/CN
广东华兴银行股份有限公司	http://www.ghbank.com.cn/
广东南粤银行股份有限公司	http://www.gdnybank.com
广西北部湾银行	http://www.bankofbbg.com/portal/index.htm
柳州银行	http://www.lzccb.com/
桂林银行	http://www.guilinbank.com.cn/index.asp
海南银行	http://www.hnbankchina.com.cn
重庆银行股份有限公司	http://www.cqcbank.com
重庆三峡银行股份有限公司	http://www.ccqtgb.com/
上海银行成都分行	http://www.bankofshanghai.com/
重庆银行成都分行	http://www.cqcbank.com/
浙江民泰商业银行成都分行	http://www.mintaibank.com/
哈尔滨银行成都分行	http://www.hrbcb.com.cn/
大连银行成都分行	http://www.bankofdl.com/
包商银行成都分行	http://www.bsb.com.cn/
贵阳银行成都分行	http://www.gyccb.cn/
天津银行成都分行	http://www.tccb.com.cn/
成都银行	http://www.bocd.com.cn
泸州市商业银行	http://www.lzccb.cn/
宜宾市商业银行	http://www.ybccb.com
乐山市商业银行	http://www.lsccb.com/lsccb/
南充市商业银行	http://www.cgnb.cn
自贡市商业银行	http://www.zgbank.com.cn/
长城华西银行成都分行	http://www.dyccb.com/
遂宁市商业银行	http://www.snccb.com/
绵阳市商业银行	http://www.mysyyh.com/
凉山州商业银行	http://www.lszsh.com.cn/
雅安市商业银行	http://www.yaccb.cn/
达州市商业银行	http://www.dzccb.com.cn/
贵州银行	http://www.bgzchina.com/
贵阳银行	http://www.bankgy.cn
富滇银行股份有限公司	http://www.fudian-bank.com/
曲靖市商业银行股份有限公司	http://www.qjccb.com/
云南红塔银行股份有限公司	http://www.yxccb.com.cn/
西藏银行股份有限公司	http://www.xzbc.com.cn/BankCommSite/shtml/xizang/cn/2791/list.shtml?channelId=2791
长安银行股份有限公司	http://www.ccabchina.com/
西安银行股份有限公司	http://www.xacbank.com/
兰州银行股份有限公司	http://www.lzbank.com/
甘肃银行股份有限公司	http://www.gsbankchina.com/
青海银行	http://www.bankqh.com
石嘴山银行	http://www.szsccb.com/index.html
乌鲁木齐银行股份有限公司	http://www.uccb.com.cn/
昆仑银行股份有限公司	http://www.klb.cn
新疆汇和银行股份有限公司	http://www.bohuihe.com/
库尔勒银行股份有限公司	http://www.xjkccb.cn/
哈密市商业银行股份有限公司	http://www.hmccb.com/
大连银行	http://www.bankofdl.com/
宁波银行股份有限公司	http://www.nbcb.com.cn/
宁波东海银行股份有限公司	http://www.ndhb.cn/
宁波通商银行股份有限公司	http://www.ncbank.cn/
厦门银行股份有限公司	http://www.xmbankonline.com/
厦门国际银行股份有限公司	http://www.xib.com.cn
天津金城银行	http://www.kcbebank.com/
上海华瑞银行	http://www.shrbank.com/
浙江网商银行	http://www.mybank.cn
温州民商银行	http://www.ms-bank.cn
深圳前海微众银行	http://www.webank.com/
北京农村商业银行股份有限公司	http://www.bjrcb.com
天津农商银行	http://www.trcb.net.cn/
天津滨海农村商业银行	http://www.tjbhb.com
河北怀来农村商业银行股份有限公司	http://www.hlnsyh.com/
河北唐山农村商业银行股份有限公司	http://www.tsnsyh.com/
河北沧州农村商业银行股份有限公司	http://www.czrxcb.com/
晋城农村商业银行股份有限公司	http://www.jcnsh.com
山西介休农村商业银行股份有限公司	http://www.sxjrcb.com
山西灵石农村商业银行股份有限公司	http://www.sxlsrcb.com
山西平遥农村商业银行股份有限公司	http://www.pyrcbank.com
山西榆次农村商业银行股份有限公司	http://www.sxyrcb.com
山西浮山农村商业银行有限责任公司	http://www.fsnsyh.cn
山西侯马农村商业银行股份有限公司	http://www.hmnsyh.com
山西乡宁农村商业银行股份有限公司	http://www.sxxnnsyh.com/
山西尧都农村商业银行股份有限公司	http://www.ydnsh.com/
山西盂县农村商业银行股份有限公司	http://www.yxnsyh.com
山西绛县农村商业银行股份有限公司	http://www.jxncsyyh.com/
山西闻喜农村商业银行股份有限公司	https://www.wxncsyyh.com/
山西运城农村商业银行股份有限公司	http://www.ycncsyyh.com
山西壶关农村商业银行股份有限公司	http://www.hgnsyh.com
山西屯留农村商业银行股份有限公司	http://www.tlnsyh.cn
山西武乡农村商业银行股份有限公司	http://www.wxnsyh.com
山西襄垣农村商业银行股份有限公司	http://www.sxxrcb.com
山西长治黎都农村商业银行股份有限公司	http://www.lidubank.com
山西长子农村商业银行股份有限公司	http://www.zznsyh.cn
长治漳泽农村商业银行股份有限公司	http://www.czzrcb.com
呼伦贝尔农村商业银行股份有限公司	http://www.hlbrcb.com/
赤峰元宝山农村商业银行股份有限公司	http://www.ybsnsyh.com/
内蒙古陕坝农村商业银行股份有限公司	http://gzgl.cyswt.com/
鄂尔多斯农村商业银行股份有限公司	http://www.erdosrcb.com/
阿拉善农村商业银行股份有限公司	http://www.alxarcb.com/
内蒙古伊金霍洛农村商业银行股份有限公司	http://www.ordosrcb.com/
赤峰松山农村商业银行股份有限公司	http://www.chifengsongshannongshangyinhang.com/
内蒙古太仆寺农村商业银行股份有限公司	http://www.trbc.cn/index.html
内蒙古五原农村商业银行股份有限公司	http://www.nmgwynsyh.com/
内蒙古呼和浩特金谷农村商业银行股份有限公	https://www.jgrcb.com/
包头农村商业银行股份有限公司	http://www.baorcb.com/
内蒙古宁城农村商业银行股份有限公司	http://www.ncrcb.net/
内蒙古西乌珠穆沁农村商业银行股份有限公司	http://www.xwrcbank.com.cn/
乌兰察布农村商业银行股份有限公司	http://www.wlcbbank.com/www/
沈阳农村商业银行	http://www.syrcb.cn/
鞍山农村商业银行	http://www.lnasrcb.com/
丹东农商银行	http://www.ddrcb.com/
东港农商银行	http://www.dgrcb.com/
凤城农商银行	http://www.fcrcb.com/
宽甸农商银行	http://www.kdrcb.com/
营口融生农村商业银行	http://www.ykrsrcb.cn/YKRSBank/homepage
营口农村商业银行	http://www.ykrcb.cn/homepage
辽宁大石桥农村商业银行	http://www.lndsqrcb.com/
阜新农村商业银行	http://www.fxrcb.com/
葫芦岛农村商业银行	http://www.hldrcbank.com/
吉林九台农村商业银行股份有限公司	http://www.jtnsh.com/
长春农村商业银行股份有限公司	http://www.cccb.cn/
大兴安岭农村商业银行	http://www.dxalrcb.com/index.php
黑河农村商业银行	http://www.hhrcb.net/
黑龙江友谊农村商业银行	http://www.youyibank.com.cn300.cn/
哈尔滨农村商业银行	http://hlj.news.163.com/special/0349sp/nsyj.html
黑龙江虎林农村商业银行	http://www.hlncsyyh.com/
大庆农村商业银行	http://www.dqxys.com/index.html
黑龙江孙吴农村商业银行	http://a17102524.atobo.com.cn/
黑龙江绥棱农村商业银行	http://www.slncsyyh.com/index.html
上海农商行	http://www.srcb.com
江苏高淳农村商业银行	http://www.jsgcbank.com/
江苏溧水农村商业银行	http://www.lrcb.net/
徐州淮海农村商业银行	http://xzhhrcb.com/
江苏邳州农村商业银行	http://www.pznsh.com/
江苏宝应农村商业银行	http://www.byxh.com/
江苏高邮农村商业银行	http://www.gynsh.net/
江苏扬州农村商业银行	http://www.yznsh.net/
江苏盱眙农村商业银行	http://www.xybank.net/
连云港东方农村商业银行	http://www.lygdfrcb.com/
江苏泗洪农村商业银行	http://www.shnsh.net/
江苏泗阳农村商业银行	http://www.syrcbank.com/
江苏民丰农村商业银行	http://sqmfbank.com/
江苏泰州农村商业银行	http://www.jstzrcb.com/
江苏姜堰农村商业银行	http://www.jsjyrcb.com/home/
江苏大丰农村商业银行	http://www.dfrcb.com/
江苏如东农村商业银行	http://www.e-net.net.cn/
江苏海安农村商业银行	http://www.haianbank.com/
江苏海门农村商业银行	http://www.jshmrcb.com/
江苏如皋农村商业银行	http://www.rgrcb.com/
江都农村商业银行	http://www.jsjdrcb.com/
滨海农村商业银行	http://www.bhnsh.com/
泰兴农村商业银行	http://www.jstxrcb.net/
彭城农村商业银行	http://www.pcnsh.com/
洪泽农村商业银行	http://www.hznsh.com/
东海农村商业银行	http://www.dhrcbank.com/
盐城农村商业银行	http://www.jshrcb.com/
灌南农村商业银行	http://www.gnrcbank.com/
铜山农村商业银行	http://www.tongshanbank.com/
江苏紫金农村商业银行	http://www.zjrcbank.com/
无锡农村商业银行	http://www.wrcb.com.cn/xzrcb/zh_CN/Home/index.htm
江阴农村商业银行	http://www.jybank.com.cn/jyrcbcms/S101_21/index.htm
常熟农村商业银行	http://www.csrcbank.com/
张家港农村商业银行	http://www.zrcbank.com/cms/
吴江农村商业银行	http://www.wjrcb.com/
昆山农村商业银行	http://www.ksrcb.cn/
太仓农村商业银行	http://www.tcrcb.com/
江苏射阳农村商业银行	http://www.syrcb.net/
靖江农村商业银行	http://www.jjbank.net/
江南农村商业银行	http://www.jnbank.cc/zh_CN/
丰县农村商业银行	http://wmdw.jswmw.com/home/?lid=5601
浙江舟山普陀农村商业银行股份有限公司	http://www.putuobank.com
龙湾农商银行	http://www.lwrcb.com/ 
杭州联合农村商业银行股份有限公司	http://www.urcb.com
浙江萧山农村商业银行股份有限公司	http://www.zjxsbank.com
浙江杭州余杭农村商业银行股份有限公司	http://www.yhrcb.com
浙江富阳农村商业银行股份有限公司	http://www.fyrcbk.com
浙江温州鹿城农村商业银行股份有限公司	http://www.lcrcbank.com
浙江温州龙湾农村商业银行股份有限公司	http://www.lwrcb.com
浙江瑞安农村商业银行股份有限公司	http://www.rarcbank.com 
浙江乐清农村商业银行股份有限公司	http://www.yqbank.com
浙江苍南农村商业银行股份有限公司	http://www.zjcnbank.com
浙江禾城农村商业银行股份有限公司	http://www.zjhcbank.com
浙江嘉善农村商业银行股份有限公司	http://www.zjjsbank.com
浙江海宁农村商业银行股份有限公司	http://www.zjhnrb.com
浙江德清农村商业银行股份有限公司	http://www.deqingbank.com
浙江绍兴瑞丰农村商业银行股份有限公司	http://www.borf.cn
浙江诸暨农村商业银行股份有限公司	http://www.zhujibank.com 
浙江上虞农村商业银行股份有限公司	http://www.shangyubank.com 
浙江新昌农村商业银行股份有限公司	http://www.xcbank.com 
浙江金华成泰农村商业银行股份有限公司	http://www.jhctbank.com
浙江义乌农村商业银行股份有限公司	http://www.ywbank.com
浙江永康农村商业银行股份有限公司	http://www.yrcbank.com
浙江东阳农村商业银行股份有限公司	http://www.dybank.net
浙江江山农村商业银行股份有限公司	http://www.jsxh.com.cn
浙江天台农村商业银行股份有限公司	http://www.tt96596.com
浙江丽水莲都农村商业银行股份有限公司	http://www.zjldrcb.com/
浙江舟山定海海洋农村商业银行股份有限公司	http://www.dhrcb.com
浙江南浔农村商业银行股份有限公司	http://www.zjnrcb.com/ 
浙江嵊州农村商业银行股份有限公司	http://www.zjszbank.com/
浙江长兴农村商业银行股份有限公司	http://www.deqingbank.com/ 
浙江平湖农村商业银行股份有限公司	http://www.zjphrcb.com/ 
浙江临海农村商业银行股份有限公司	http://www.zjlhbank.com/ 
浙江温岭农村商业银行股份有限公司	http://www.wlhh.com.cn/ 
合肥科技农村商业银行股份有限公司	http://www.hfrcbc.com/
安徽肥东农村商业银行股份有限公司	http://www.ahfdrcb.com/
安徽肥西农村商业银行股份有限公司	http://www.fxrcb.cn/
安徽长丰农村商业银行股份有限公司	http://www.ahcfrcb.com/
安徽庐江农村商业银行股份有限公司	http://www.ahljrcb.com/
巢湖农村商业银行股份有限公司	http://www.jcrcu.com/
淮北农村商业银行股份有限公司	http://www.hbnsyh.com/
安徽濉溪农村商业银行股份有限公司	http://www.sxxbank.com.cn/
亳州药都农村商业银行股份有限公司	http://www.yaoduyh.com/
安徽蒙城农村商业银行股份有限公司	http://www.mcrcb.com
安徽利辛农村商业银行股份有限公司	http://www.lixinbank.com
安徽砀山农村商业银行股份有限公司	http://www.dsnsyh.cn/
安徽萧县农村商业银行股份有限公司	http://www.ahxxnsh.com/
安徽灵璧农村商业银行股份有限公司	http://www.ahlbrcb.com/
安徽泗县农村商业银行股份有限公司	http://www.ahsxrcbank.com/
蚌埠农村商业银行股份有限公司	http://www.bbrcb.cn
安徽五河农村商业银行股份有限公司	http://www.ahwhrcb.com
安徽固镇农村商业银行股份有限公司	http://www.gzxrcb.com/
安徽怀远农村商业银行股份有限公司	http://www.ahhyrcb.com/
阜阳颍泉农村商业银行股份有限公司	http://www.fyyqrcb.com/
阜阳颍东农村商业银行股份有限公司	http://www.fyydrcb.com/
安徽颍上农村商业银行股份有限公司	http://www.ahysrcb.com
安徽界首农村商业银行股份有限公司	http://ahjsrcb.com/
安徽临泉农村商业银行股份有限公司	http://www.lqrcb.net
安徽阜南农村商业银行股份有限公司	http://fnrcb.net/
安徽太和农村商业银行股份有限公司	http://www.ahthnsh.com
淮南通商农村商业银行股份有限公司	http://www.hcrcb.com/
安徽凤台农村商业银行股份有限公司	http://www.ft96669.com
淮南淮河农村商业银行股份有限公司	http://www.hhncb.com
安徽天长农村商业银行股份有限公司	http://www.ahtcnsh.com
安徽全椒农村商业银行股份有限公司	http://www.ahqjrcb.com
安徽来安农村商业银行股份有限公司	http://www.ahlarch.com/
